id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,age_group,income_group,spending_group,customer_value_score,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,kmeans_cluster,rfm_segment,estimated_clv
188,55,Male,77060,14,2,16,Sports,286.79,55-64,Medium,Low Spenders,32.878,253,16,286.79,2,2,2,222,2,Others,9177.28
189,45,Male,108335,62,1,35,Electronics,940.93,45-54,High,Medium Spenders,59.6505,120,35,940.93,4,4,5,445,0,Champions,32932.549999999996
190,41,Other,59408,68,1,16,Electronics,504.16,35-44,Medium,Medium Spenders,47.1824,253,16,504.16,2,2,3,223,3,Others,8066.56
191,35,Male,100208,80,2,27,Electronics,23.73,35-44,High,High Spenders,66.33239999999999,176,27,23.73,3,3,1,331,3,Others,1281.42
192,63,Other,109506,48,10,50,Electronics,26.85,55-64,High,Medium Spenders,72.5518,15,50,26.85,5,5,1,551,2,New Customers,13425.0
193,69,Female,39509,10,6,27,Groceries,377.66,65+,Low,Low Spenders,28.1227,176,27,377.66,3,3,2,332,2,Others,61180.92000000001
194,69,Male,74519,95,10,42,Clothing,931.51,65+,Medium,High Spenders,80.7757,71,42,931.51,5,5,5,555,1,Champions,391234.19999999995
195,67,Other,31806,79,8,13,Electronics,261.07,65+,Low,High Spenders,57.271800000000006,274,13,261.07,2,2,2,222,3,Others,27151.28
196,48,Male,108550,5,6,35,Home & Garden,410.05,45-54,High,Low Spenders,46.915,120,35,410.05,4,4,3,443,2,Others,86110.5
197,34,Female,56125,66,10,26,Home & Garden,610.66,25-34,Medium,Medium Spenders,63.497499999999995,183,26,610.66,3,3,3,333,1,Others,158771.6
198,39,Male,116566,76,9,21,Groceries,32.38,35-44,High,High Spenders,83.57979999999999,218,21,32.38,2,2,1,221,3,Price Sensitive,6119.82
199,45,Female,82014,30,10,15,Groceries,81.91,45-54,Medium,Medium Spenders,56.7542,260,15,81.91,2,2,1,221,2,Price Sensitive,12286.499999999998
200,63,Female,113240,47,9,22,Clothing,279.96,55-64,High,Medium Spenders,70.99199999999999,211,22,279.96,2,2,2,222,2,Others,55432.08
201,45,Male,111788,28,9,49,Groceries,628.43,45-54,High,Low Spenders,63.226400000000005,22,49,628.43,5,5,4,554,1,Champions,277137.62999999995
202,25,Male,30570,16,8,44,Sports,971.09,25-34,Low,Low Spenders,32.010999999999996,57,44,971.09,5,5,5,555,0,Champions,341823.68
203,66,Other,106631,41,6,9,Home & Garden,354.46,65+,High,Medium Spenders,60.47930000000001,302,9,354.46,1,1,2,112,2,Others,19140.84
204,49,Male,100258,53,6,27,Home & Garden,436.43,45-54,High,Medium Spenders,63.5474,176,27,436.43,3,3,3,333,2,Others,70701.66
205,27,Male,132541,78,8,42,Electronics,825.01,25-34,High,High Spenders,87.3823,71,42,825.01,5,5,5,555,1,Champions,277203.36
206,34,Male,97962,18,3,19,Electronics,947.73,25-34,Medium,Low Spenders,42.7786,232,19,947.73,2,2,5,225,0,Others,54020.61
207,58,Male,48714,75,10,40,Sports,324.91,55-64,Low,High Spenders,65.0142,85,40,324.91,4,4,2,442,1,Others,129964.00000000001
208,59,Female,70050,62,3,10,Clothing,49.53,55-64,Medium,Medium Spenders,51.915,295,10,49.53,1,1,1,111,3,Others,1485.9
209,60,Female,124416,24,5,39,Home & Garden,544.04,55-64,High,Low Spenders,57.3148,92,39,544.04,4,4,3,443,2,Others,106087.79999999999
210,47,Other,93783,24,10,3,Electronics,406.56,45-54,Medium,Low Spenders,57.7649,344,3,406.56,1,1,3,113,2,Others,12196.800000000001
211,40,Female,83445,89,7,11,Clothing,356.35,35-44,Medium,High Spenders,74.7435,288,11,356.35,1,1,2,112,3,Others,27438.950000000004
212,18,Other,54421,20,1,41,Home & Garden,215.95,18-24,Medium,Low Spenders,26.7363,78,41,215.95,5,4,2,542,2,New Customers,8853.949999999999
213,47,Female,121498,29,9,28,Sports,706.37,45-54,High,Low Spenders,66.32939999999999,169,28,706.37,3,3,4,334,1,Promising,178005.24
214,33,Male,84883,43,2,49,Home & Garden,956.03,25-34,Medium,Medium Spenders,47.1549,22,49,956.03,5,5,5,555,0,Champions,93690.94
215,69,Other,127086,93,4,45,Electronics,339.9,65+,High,High Spenders,83.7758,50,45,339.9,5,5,2,552,3,New Customers,61181.99999999999
216,26,Other,133538,27,5,46,Electronics,761.08,25-34,High,Low Spenders,61.321400000000004,43,46,761.08,5,5,4,554,0,Champions,175048.4
217,46,Female,82034,19,2,45,Sports,635.93,45-54,Medium,Low Spenders,36.6602,50,45,635.93,5,5,4,554,0,Champions,57233.7
218,55,Female,147024,24,9,16,Electronics,169.79,55-64,High,Low Spenders,71.8672,253,16,169.79,2,2,1,221,2,Price Sensitive,24449.76
219,57,Male,33009,82,9,24,Clothing,563.64,55-64,Low,High Spenders,60.94270000000001,197,24,563.64,3,3,3,333,1,Others,121746.24
220,69,Male,142216,90,7,29,Electronics,559.73,65+,High,High Spenders,92.9548,162,29,559.73,3,3,3,333,1,Others,113625.19
221,62,Male,82623,51,8,37,Clothing,155.14,55-64,Medium,Medium Spenders,61.5569,106,37,155.14,4,4,1,441,2,Others,45921.439999999995
222,67,Other,64134,3,2,26,Clothing,868.18,65+,Medium,Low Spenders,24.7002,183,26,868.18,3,3,5,335,0,Loyal Customers,45145.36
223,53,Female,146546,12,6,45,Sports,915.02,45-54,High,Low Spenders,61.213800000000006,50,45,915.02,5,5,5,555,0,Champions,247055.40000000002
224,51,Female,33665,12,2,2,Groceries,139.07,45-54,Low,Low Spenders,18.9195,351,2,139.07,1,1,1,111,2,Others,556.28
225,54,Female,92156,18,7,14,Electronics,238.87,45-54,Medium,Low Spenders,48.9868,267,14,238.87,2,2,2,222,2,Others,23409.260000000002
226,19,Female,51355,48,8,28,Home & Garden,278.21,18-24,Medium,Medium Spenders,50.8865,169,28,278.21,3,3,2,332,2,Others,62319.03999999999
227,65,Male,89274,71,10,34,Electronics,840.45,65+,Medium,High Spenders,75.5222,127,34,840.45,4,4,5,445,1,Champions,285753.0
228,53,Male,57651,27,7,16,Home & Garden,345.62,45-54,Medium,Low Spenders,42.2553,253,16,345.62,2,2,2,222,2,Others,38709.44
229,19,Other,52470,90,5,35,Groceries,515.99,18-24,Medium,High Spenders,62.091,120,35,515.99,4,4,3,443,3,Others,90298.25
230,56,Male,31154,40,4,25,Electronics,197.54,55-64,Low,Medium Spenders,33.596199999999996,190,25,197.54,3,3,2,332,2,Others,19754.0
231,24,Female,147572,44,7,45,Electronics,204.27,18-24,High,Medium Spenders,76.3216,50,45,204.27,5,5,2,552,2,New Customers,64345.049999999996
232,66,Male,144573,41,7,24,Groceries,66.6,65+,High,Medium Spenders,74.0119,197,24,66.6,3,3,1,331,2,Others,11188.8
233,41,Female,88312,22,6,31,Groceries,212.53,35-44,Medium,Low Spenders,47.6036,148,31,212.53,4,3,2,432,2,Others,39530.58
234,29,Female,96066,45,7,24,Sports,479.36,25-34,Medium,Medium Spenders,61.0598,197,24,479.36,3,3,3,333,2,Others,80532.48
235,19,Female,41542,21,1,22,Groceries,132.88,18-24,Low,Low Spenders,23.0826,211,22,132.88,2,2,1,221,2,Price Sensitive,2923.3599999999997
236,42,Other,66495,79,9,31,Sports,537.66,35-44,Medium,High Spenders,69.8585,148,31,537.66,4,3,3,433,1,Others,150007.13999999998
237,62,Other,52480,22,3,14,Electronics,821.42,55-64,Medium,Low Spenders,30.683999999999997,267,14,821.42,2,2,5,225,0,Others,34499.64
238,64,Other,148368,19,4,23,Groceries,949.32,55-64,High,Low Spenders,60.340399999999995,204,23,949.32,3,3,5,335,0,Loyal Customers,87337.44
239,64,Female,124599,41,9,41,Groceries,924.18,55-64,High,Medium Spenders,72.1897,78,41,924.18,5,4,5,545,1,Champions,341022.42
240,44,Female,121975,33,6,27,Groceries,640.96,35-44,High,Medium Spenders,62.0625,176,27,640.96,3,3,4,334,2,Promising,103835.52000000002
241,41,Female,41748,50,8,5,Sports,35.16,35-44,Low,Medium Spenders,48.5744,330,5,35.16,1,1,1,111,2,Others,1406.3999999999999
242,31,Female,125501,74,3,18,Electronics,947.76,25-34,High,High Spenders,73.43030000000002,239,18,947.76,2,2,5,225,0,Others,51179.04
243,25,Other,109583,6,4,30,Electronics,923.64,25-34,High,Low Spenders,43.57489999999999,155,30,923.64,3,3,5,335,0,Loyal Customers,110836.8
244,47,Female,108356,84,6,19,Home & Garden,911.0,45-54,High,High Spenders,78.29679999999999,232,19,911.0,2,2,5,225,1,Others,103854.0
245,28,Other,134414,19,5,15,Home & Garden,922.01,25-34,High,Low Spenders,58.0742,260,15,922.01,2,2,5,225,0,Others,69150.75
246,44,Male,83880,31,6,32,Electronics,464.42,35-44,Medium,Medium Spenders,49.884,141,32,464.42,4,4,3,443,2,Others,89168.64
247,54,Other,48896,28,9,25,Sports,244.79,45-54,Low,Low Spenders,44.1188,190,25,244.79,3,3,2,332,2,Others,55077.75
248,28,Other,48383,57,8,35,Sports,17.97,25-34,Low,Medium Spenders,53.6649,120,35,17.97,4,4,1,441,2,Others,5031.599999999999
249,54,Female,134743,98,9,42,Sports,894.21,45-54,High,High Spenders,98.0429,71,42,894.21,5,5,5,555,1,Champions,338011.38
250,47,Male,91491,52,5,10,Home & Garden,21.43,45-54,Medium,Medium Spenders,58.3473,295,10,21.43,1,1,1,111,3,Others,1071.5
251,43,Male,89688,27,10,30,Electronics,223.64,35-44,Medium,Low Spenders,58.0064,155,30,223.64,3,3,2,332,2,Others,67092.0
252,25,Other,105185,70,2,37,Groceries,556.23,25-34,High,High Spenders,63.92549999999999,106,37,556.23,4,4,3,443,3,Others,41161.020000000004
253,49,Other,129014,25,7,21,Groceries,271.52,45-54,High,Low Spenders,62.9142,218,21,271.52,2,2,2,222,2,Others,39913.44
254,66,Other,112847,98,9,44,Home & Garden,827.44,65+,High,High Spenders,91.4941,57,44,827.44,5,5,5,555,1,Champions,327666.24
255,27,Other,139589,69,8,22,Clothing,150.58,25-34,High,Medium Spenders,85.69669999999999,211,22,150.58,2,2,1,221,3,Price Sensitive,26502.08
256,46,Other,38785,55,9,22,Clothing,486.25,45-54,Low,Medium Spenders,51.8555,211,22,486.25,2,2,3,223,1,Others,96277.5
257,26,Male,134203,19,3,28,Sports,935.64,25-34,High,Low Spenders,54.1409,169,28,935.64,3,3,5,335,0,Loyal Customers,78593.76
258,37,Other,86856,74,3,10,Electronics,624.29,35-44,Medium,High Spenders,61.756800000000005,295,10,624.29,1,1,4,114,3,Cannot Lose Them,18728.699999999997
259,68,Male,49725,59,2,35,Groceries,12.36,65+,Low,Medium Spenders,42.8675,120,35,12.36,4,4,1,441,3,Others,865.1999999999999
260,39,Female,56381,82,6,19,Sports,759.6,35-44,Medium,High Spenders,61.904300000000006,232,19,759.6,2,2,4,224,1,Others,86594.4
261,39,Other,117432,96,7,41,Sports,25.44,35-44,High,High Spenders,88.03960000000001,78,41,25.44,5,4,1,541,3,New Customers,7301.28
262,60,Other,45827,18,2,47,Electronics,599.66,55-64,Low,Low Spenders,25.4181,36,47,599.66,5,5,3,553,0,New Customers,56368.03999999999
263,64,Other,115366,68,9,28,Electronics,934.88,55-64,High,Medium Spenders,80.0898,169,28,934.88,3,3,5,335,1,Loyal Customers,235589.76
264,57,Female,31451,75,3,8,Electronics,611.79,55-64,Low,High Spenders,45.515299999999996,309,8,611.79,1,1,4,114,0,Cannot Lose Them,14682.96
265,63,Male,142287,77,10,44,Clothing,785.29,55-64,High,High Spenders,93.9261,57,44,785.29,5,5,4,554,1,Champions,345527.6
266,53,Other,84616,68,10,8,Home & Garden,543.31,45-54,Medium,Medium Spenders,72.6648,309,8,543.31,1,1,3,113,1,Others,43464.799999999996
267,57,Female,114972,42,9,12,Home & Garden,999.74,55-64,High,Medium Spenders,69.4116,281,12,999.74,2,1,5,215,1,Cannot Lose Them,107971.92000000001
268,23,Other,101024,29,3,41,Groceries,484.85,18-24,High,Low Spenders,48.3172,78,41,484.85,5,4,3,543,0,Loyal Customers,59636.55
269,33,Female,118116,100,9,48,Sports,21.9,25-34,High,High Spenders,93.9148,29,48,21.9,5,5,1,551,3,New Customers,9460.8
270,28,Female,49020,75,9,49,Electronics,109.03,25-34,Low,High Spenders,63.196000000000005,22,49,109.03,5,5,1,551,1,New Customers,48082.23
271,69,Male,47458,14,2,10,Groceries,874.32,65+,Low,Low Spenders,23.9374,295,10,874.32,1,1,5,115,0,Cannot Lose Them,17486.4
272,52,Female,104033,6,5,15,Clothing,192.31,45-54,High,Low Spenders,43.759899999999995,260,15,192.31,2,2,2,222,2,Others,14423.25
273,47,Other,84117,74,9,17,Home & Garden,886.08,45-54,Medium,High Spenders,73.0051,246,17,886.08,2,2,5,225,1,Others,135570.24
274,60,Other,107232,68,4,48,Clothing,730.8,55-64,High,Medium Spenders,67.8496,29,48,730.8,5,5,4,554,1,Champions,140313.59999999998
275,22,Other,128623,88,5,20,Clothing,609.57,18-24,High,High Spenders,83.9869,225,20,609.57,2,2,3,223,3,Others,60957.00000000001
276,39,Female,39931,43,1,28,Groceries,261.36,35-44,Low,Medium Spenders,31.4593,169,28,261.36,3,3,2,332,3,Others,7318.08
277,53,Other,94392,38,5,11,Clothing,997.24,45-54,Medium,Medium Spenders,53.6276,288,11,997.24,1,1,5,115,0,Cannot Lose Them,54848.2
278,63,Male,48225,24,6,14,Clothing,764.05,55-64,Low,Low Spenders,36.2075,267,14,764.05,2,2,4,224,0,Others,64180.2
279,47,Other,95656,63,2,30,Electronics,634.19,45-54,Medium,Medium Spenders,58.196799999999996,155,30,634.19,3,3,4,334,0,Promising,38051.4
280,53,Female,61826,96,1,14,Clothing,577.0,45-54,Medium,High Spenders,59.0878,267,14,577.0,2,2,3,223,3,Others,8078.0
281,61,Other,47689,46,4,42,Home & Garden,802.44,55-64,Low,Medium Spenders,41.1267,71,42,802.44,5,5,5,555,0,Champions,134809.92
282,34,Male,68250,9,10,26,Clothing,835.06,25-34,Medium,Low Spenders,44.335,183,26,835.06,3,3,5,335,1,Loyal Customers,217115.59999999998
283,33,Male,113187,27,9,46,Electronics,886.3,25-34,High,Low Spenders,63.216100000000004,43,46,886.3,5,5,5,555,1,Champions,366928.19999999995
284,43,Male,77006,27,3,36,Electronics,223.98,35-44,Medium,Low Spenders,40.2618,113,36,223.98,4,4,2,442,2,Others,24189.84
285,63,Female,121652,20,1,26,Sports,169.58,55-64,High,Low Spenders,46.755599999999994,183,26,169.58,3,3,1,331,2,Others,4409.08
286,51,Male,124670,66,2,43,Clothing,184.8,45-54,High,Medium Spenders,68.23100000000001,64,43,184.8,5,5,2,552,3,New Customers,15892.800000000001
287,31,Male,119460,69,2,22,Clothing,486.21,25-34,High,Medium Spenders,67.65799999999999,211,22,486.21,2,2,3,223,3,Others,21393.239999999998
288,56,Male,117922,69,2,41,Home & Garden,98.83,55-64,High,Medium Spenders,67.38659999999999,78,41,98.83,5,4,1,541,3,New Customers,8104.0599999999995
289,38,Male,84577,70,7,27,Sports,631.28,35-44,Medium,High Spenders,67.64309999999999,176,27,631.28,3,3,4,334,1,Promising,119311.91999999998
290,43,Male,64136,61,1,19,Electronics,680.92,35-44,Medium,Medium Spenders,45.830799999999996,232,19,680.92,2,2,4,224,0,Others,12937.48
291,45,Female,57845,32,6,41,Clothing,934.34,45-54,Medium,Medium Spenders,42.5635,78,41,934.34,5,4,5,545,0,Champions,229847.64
292,62,Other,38250,63,5,22,Home & Garden,723.93,55-64,Low,Medium Spenders,46.895,211,22,723.93,2,2,4,224,0,Others,79632.29999999999
293,45,Other,54819,72,3,47,Sports,553.44,45-54,Medium,High Spenders,51.7157,36,47,553.44,5,5,3,553,0,New Customers,78035.04000000001
294,47,Other,89077,43,1,35,Clothing,547.85,45-54,Medium,Medium Spenders,46.2731,120,35,547.85,4,4,3,443,0,Others,19174.75
295,18,Other,135713,79,7,18,Electronics,871.12,18-24,High,High Spenders,86.4939,239,18,871.12,2,2,5,225,1,Others,109761.12
296,56,Other,129611,23,3,48,Sports,98.85,55-64,High,Low Spenders,54.5633,29,48,98.85,5,5,1,551,2,New Customers,14234.399999999998
297,40,Male,97995,47,4,9,Sports,101.35,35-44,Medium,Medium Spenders,56.2885,302,9,101.35,1,1,1,111,3,Others,3648.6
298,39,Male,132488,40,5,37,Sports,82.16,35-44,High,Medium Spenders,66.1164,106,37,82.16,4,4,1,441,2,Others,15199.6
299,59,Male,36383,5,6,31,Groceries,82.77,55-64,Low,Low Spenders,25.2249,148,31,82.77,4,3,1,431,2,Others,15395.22
300,55,Other,144624,38,2,23,Groceries,652.26,55-64,High,Medium Spenders,62.8172,204,23,652.26,3,3,4,334,0,Promising,30003.96
301,52,Female,106147,2,6,19,Groceries,412.65,45-54,High,Low Spenders,44.8341,232,19,412.65,2,2,3,223,2,Others,47042.1
302,50,Other,130668,39,5,25,Home & Garden,69.81,45-54,High,Medium Spenders,65.0504,190,25,69.81,3,3,1,331,2,Others,8726.25
303,59,Female,57745,33,7,42,Electronics,492.87,55-64,Medium,Medium Spenders,44.9435,71,42,492.87,5,5,3,553,1,New Customers,144903.78
304,50,Female,78296,93,9,47,Electronics,559.16,45-54,Medium,High Spenders,79.1588,36,47,559.16,5,5,3,553,1,New Customers,236524.67999999996
305,32,Male,39407,50,6,13,Sports,844.22,25-34,Low,Medium Spenders,43.9521,274,13,844.22,2,2,5,225,0,Others,65849.16
306,48,Male,39407,82,5,27,Sports,463.07,45-54,Low,High Spenders,54.892100000000006,176,27,463.07,3,3,3,333,3,Others,62514.45
307,26,Other,135530,81,2,12,Home & Garden,126.35,25-34,High,High Spenders,77.179,281,12,126.35,2,1,1,211,3,Others,3032.3999999999996
308,54,Female,76995,14,3,46,Electronics,685.09,45-54,Medium,Low Spenders,35.158500000000004,43,46,685.09,5,5,4,554,0,Champions,94542.42000000001
309,64,Female,96182,44,4,8,Groceries,509.31,55-64,Medium,Medium Spenders,54.5346,309,8,509.31,1,1,3,113,0,Others,16297.92
310,50,Male,100320,45,7,29,Sports,139.39,45-54,High,Medium Spenders,62.385999999999996,162,29,139.39,3,3,1,331,2,Others,28296.17
311,53,Male,138922,45,5,22,Electronics,154.06,45-54,High,Medium Spenders,69.8966,211,22,154.06,2,2,1,221,2,Price Sensitive,16946.600000000002
312,30,Male,143200,38,8,30,Sports,684.43,25-34,High,Medium Spenders,74.46,155,30,684.43,3,3,4,334,1,Promising,164263.19999999998
313,69,Other,35218,47,4,33,Electronics,315.49,65+,Low,Medium Spenders,37.6954,134,33,315.49,4,4,2,442,0,Others,41644.68
314,44,Male,141748,55,2,50,Groceries,897.57,35-44,High,Medium Spenders,69.02439999999999,15,50,897.57,5,5,5,555,0,Champions,89757.0
315,68,Female,62971,27,8,17,Electronics,85.45,65+,Medium,Low Spenders,45.8613,246,17,85.45,2,2,1,221,2,Price Sensitive,11621.2
316,20,Female,57260,47,2,49,Electronics,506.7,18-24,Medium,Medium Spenders,40.467999999999996,22,49,506.7,5,5,3,553,0,New Customers,49656.6
317,18,Other,92363,84,1,10,Electronics,539.74,18-24,Medium,High Spenders,63.4089,295,10,539.74,1,1,3,113,3,Others,5397.4
318,23,Other,84664,45,5,12,Electronics,592.72,18-24,Medium,Medium Spenders,53.5192,281,12,592.72,2,1,3,213,0,Others,35563.200000000004
319,61,Other,47790,67,9,5,Home & Garden,714.29,55-64,Low,Medium Spenders,59.187,330,5,714.29,1,1,4,114,1,Cannot Lose Them,32143.05
320,34,Male,31668,43,5,40,Clothing,117.01,25-34,Low,Medium Spenders,37.1004,85,40,117.01,4,4,1,441,2,Others,23402.000000000004
321,43,Female,78858,4,3,38,Sports,261.19,35-44,Medium,Low Spenders,31.6374,99,38,261.19,4,4,2,442,2,Others,29775.659999999996
322,46,Other,126553,16,2,22,Home & Garden,85.56,45-54,High,Low Spenders,48.585899999999995,211,22,85.56,2,2,1,221,2,Price Sensitive,3764.6400000000003
323,55,Other,80006,44,2,49,Clothing,727.51,55-64,Medium,Medium Spenders,46.0918,22,49,727.51,5,5,4,554,0,Champions,71295.98
324,30,Male,119162,15,9,38,Home & Garden,937.85,25-34,High,Low Spenders,60.128600000000006,99,38,937.85,4,4,5,445,1,Champions,320744.7
325,41,Other,71410,69,1,32,Home & Garden,456.67,35-44,Medium,Medium Spenders,51.342999999999996,141,32,456.67,4,4,3,443,3,Others,14613.44
326,59,Other,49020,100,2,42,Groceries,588.18,55-64,Low,High Spenders,59.126000000000005,71,42,588.18,5,5,3,553,3,New Customers,49407.119999999995
327,50,Male,36022,11,6,49,Clothing,801.59,45-54,Low,Low Spenders,27.6966,22,49,801.59,5,5,4,554,0,Champions,235667.46000000002
328,41,Female,64634,55,9,44,Groceries,488.07,35-44,Medium,Medium Spenders,59.8302,57,44,488.07,5,5,3,553,1,New Customers,193275.71999999997
329,68,Other,76921,79,1,23,Groceries,122.02,65+,Medium,High Spenders,56.906299999999995,204,23,122.02,3,3,1,331,3,Others,2806.46
330,28,Male,51087,60,4,42,Groceries,68.31,25-34,Medium,Medium Spenders,47.7461,71,42,68.31,5,5,1,551,3,New Customers,11476.08
331,30,Male,90651,88,9,37,Groceries,555.41,25-34,Medium,High Spenders,80.76530000000001,106,37,555.41,4,4,3,443,1,Others,184951.52999999997
332,38,Other,50518,70,1,38,Sports,816.09,35-44,Medium,High Spenders,45.5354,99,38,816.09,4,4,5,445,0,Champions,31011.420000000002
333,21,Other,126598,14,3,1,Sports,505.98,18-24,High,Low Spenders,49.5894,358,1,505.98,1,1,3,113,2,Others,1517.94
334,58,Other,99475,27,9,9,Groceries,249.39,55-64,Medium,Low Spenders,58.7325,302,9,249.39,1,1,2,112,2,Others,20200.589999999997
335,60,Male,145308,83,3,31,Groceries,53.26,55-64,High,High Spenders,83.1024,148,31,53.26,4,3,1,431,3,Others,4953.18
336,40,Other,107488,96,7,16,Groceries,843.6,35-44,High,High Spenders,84.8064,253,16,843.6,2,2,5,225,1,Others,94483.2
337,58,Male,60768,88,2,38,Groceries,67.52,55-64,Medium,High Spenders,57.81040000000001,99,38,67.52,4,4,1,441,3,Others,5131.5199999999995
338,42,Other,115381,70,7,33,Home & Garden,592.52,35-44,High,High Spenders,76.9443,134,33,592.52,4,4,3,443,1,Others,136872.12
339,28,Female,111697,92,9,50,Sports,205.58,25-34,High,High Spenders,88.8091,15,50,205.58,5,5,2,552,1,New Customers,92511.0
340,48,Other,30374,28,7,34,Groceries,463.78,45-54,Low,Low Spenders,34.65220000000001,127,34,463.78,4,4,3,443,2,Others,110379.63999999998
341,31,Other,35406,45,10,9,Electronics,637.02,25-34,Low,Medium Spenders,48.711800000000004,302,9,637.02,1,1,4,114,1,Cannot Lose Them,57331.8
342,69,Female,71688,69,4,25,Clothing,532.23,65+,Medium,Medium Spenders,57.3564,190,25,532.23,3,3,3,333,0,Others,53223.0
343,32,Male,48445,91,8,27,Home & Garden,265.17,25-34,Low,High Spenders,67.20349999999999,176,27,265.17,3,3,2,332,3,Others,57276.72
344,41,Male,136928,42,5,33,Home & Garden,239.72,35-44,High,Medium Spenders,68.2084,134,33,239.72,4,4,2,442,2,Others,39553.8
345,33,Male,112118,27,10,9,Clothing,535.28,25-34,High,Low Spenders,64.5254,302,9,535.28,1,1,3,113,2,Others,48175.2
346,62,Female,114587,14,7,11,Electronics,26.72,55-64,High,Low Spenders,54.0861,288,11,26.72,1,1,1,111,2,Others,2057.4399999999996
347,38,Female,42378,36,5,20,Sports,279.77,35-44,Low,Medium Spenders,37.3134,225,20,279.77,2,2,2,222,2,Others,27977.0
348,39,Female,136141,58,6,30,Home & Garden,211.56,35-44,High,Medium Spenders,76.3423,155,30,211.56,3,3,2,332,3,Others,38080.8
349,44,Male,32030,38,2,19,Sports,912.15,35-44,Low,Medium Spenders,28.999000000000002,232,19,912.15,2,2,5,225,0,Others,34661.7
350,56,Female,148694,44,7,13,Electronics,326.5,55-64,High,Medium Spenders,76.3382,274,13,326.5,2,2,2,222,2,Others,29711.5
351,68,Other,122661,16,4,48,Groceries,85.44,65+,High,Low Spenders,51.67829999999999,29,48,85.44,5,5,1,551,2,New Customers,16404.48
352,47,Female,54571,57,4,2,Electronics,138.3,45-54,Medium,Medium Spenders,47.191300000000005,351,2,138.3,1,1,1,111,3,Others,1106.4
353,61,Other,120516,100,10,47,Home & Garden,475.52,55-64,High,High Spenders,96.6248,36,47,475.52,5,5,3,553,1,New Customers,223494.4
354,63,Other,37003,57,4,25,Sports,857.68,55-64,Low,Medium Spenders,42.1509,190,25,857.68,3,3,5,335,0,Loyal Customers,85768.0
355,38,Other,81837,68,5,6,Sports,349.35,35-44,Medium,Medium Spenders,61.81110000000001,323,6,349.35,1,1,2,112,3,Others,10480.500000000002
356,32,Other,94627,88,9,30,Clothing,703.94,25-34,Medium,High Spenders,81.8881,155,30,703.94,3,3,4,334,1,Promising,190063.80000000002
357,49,Other,103191,34,5,41,Clothing,253.63,45-54,High,Medium Spenders,54.967299999999994,78,41,253.63,5,4,2,542,2,New Customers,51994.15
358,57,Male,137205,18,1,21,Electronics,862.12,55-64,High,Low Spenders,50.57150000000001,218,21,862.12,2,2,5,225,0,Others,18104.52
359,50,Male,85888,19,2,25,Groceries,910.52,45-54,Medium,Low Spenders,37.6164,190,25,910.52,3,3,5,335,0,Loyal Customers,45526.0
360,38,Male,40590,91,7,27,Electronics,617.64,35-44,Low,High Spenders,62.847,176,27,617.64,3,3,4,334,1,Promising,116733.95999999999
361,28,Female,130938,98,5,37,Electronics,612.09,25-34,High,High Spenders,88.85140000000001,106,37,612.09,4,4,4,444,3,Loyal Customers,113236.65000000001
362,21,Male,107934,32,5,38,Home & Garden,533.18,18-24,High,Medium Spenders,55.5602,99,38,533.18,4,4,3,443,2,Others,101304.19999999998
363,26,Other,149741,51,4,37,Home & Garden,685.36,25-34,High,Medium Spenders,73.6923,106,37,685.36,4,4,4,444,0,Loyal Customers,101433.28
364,63,Other,145117,66,7,12,Sports,971.02,55-64,High,Medium Spenders,84.0551,281,12,971.02,2,2,5,225,1,Others,81565.68
365,21,Other,90000,42,4,23,Home & Garden,278.15,18-24,Medium,Medium Spenders,52.029999999999994,204,23,278.15,3,3,2,332,2,Others,25589.8
366,19,Other,105019,84,8,32,Clothing,735.3,18-24,High,High Spenders,81.42569999999999,141,32,735.3,4,4,4,444,1,Loyal Customers,188236.8
367,65,Female,65576,91,5,12,Clothing,782.55,65+,Medium,High Spenders,66.1928,281,12,782.55,2,2,4,224,1,Others,46952.99999999999
368,53,Female,130474,74,10,39,Home & Garden,217.92,45-54,High,High Spenders,89.1322,92,39,217.92,4,4,2,442,1,Others,84988.79999999999
369,63,Other,77411,20,2,37,Sports,648.38,55-64,Medium,Low Spenders,35.59329999999999,106,37,648.38,4,4,4,444,0,Loyal Customers,47980.12
370,23,Female,30751,99,9,26,Electronics,696.9,18-24,Low,High Spenders,67.0853,183,26,696.9,3,3,4,334,1,Promising,163074.59999999998
371,20,Male,87520,93,4,3,Groceries,459.87,18-24,Medium,High Spenders,71.486,344,3,459.87,1,1,3,113,3,Others,5518.4400000000005
372,39,Female,53805,71,5,16,Sports,372.03,35-44,Medium,High Spenders,54.701499999999996,253,16,372.03,2,2,2,222,3,Others,29762.399999999998
373,30,Other,80320,91,1,31,Electronics,930.97,25-34,Medium,High Spenders,62.806,148,31,930.97,4,3,5,435,0,Loyal Customers,28860.07
374,64,Other,84380,69,10,28,Sports,212.08,55-64,Medium,Medium Spenders,73.194,169,28,212.08,3,3,2,332,1,Others,59382.40000000001
375,33,Female,58367,11,4,29,Groceries,826.87,25-34,Medium,Low Spenders,30.2001,162,29,826.87,3,3,5,335,0,Loyal Customers,95916.92
376,25,Female,56110,36,5,42,Electronics,389.97,25-34,Medium,Medium Spenders,41.653,71,42,389.97,5,5,3,553,2,New Customers,81893.70000000001
